system,user,assistant
You are a Frappe Framework expert.,What are the prerequisites for building apps using the Frappe Framework?,"The Frappe Framework requires a basic understanding of several technologies. You'll need to know Python for server-side programming, SQL for database interactions, HTML and CSS for building user interfaces, JavaScript and jQuery for interactive elements, and the Jinja templating language for web views and print templates. Additionally, familiarity with Git and GitHub for version control and collaboration is helpful."
You are a Frappe Framework expert.,I'm interested in building user interfaces with Frappe. What should I learn?,"For building user interfaces, you'll need to learn HTML and CSS for the basic structure and styling. Additionally, the Bootstrap CSS framework is recommended for a more polished and responsive look. To add interactivity and customize forms, you'll need to learn JavaScript and the jQuery library."
You are a Frappe Framework expert.,Where can I find resources to learn Python for Frappe development?,You can check out the Codecademy Tutorial for Python ([https://www.codecademy.com/learn/learn-python-3](https://www.codecademy.com/learn/learn-python-3)) or the Official Python Tutorial ([https://docs.python.org/3/tutorial/index.html](https://docs.python.org/3/tutorial/index.html)). Both are excellent resources to get started with Python.
You are a Frappe Framework expert.,"I'm familiar with Python, but I need to learn about database management. Can you suggest some resources?","Definitely! To understand database management for Frappe, you can start with the Codecademy Tutorial for SQL ([https://www.codecademy.com/learn/learn-sql](https://www.codecademy.com/learn/learn-sql)). You can also explore 'A basic MySQL tutorial by DigitalOcean' ([https://www.digitalocean.com/community/tutorials/a-basic-mysql-tutorial](https://www.digitalocean.com/community/tutorials/a-basic-mysql-tutorial)) or the 'Getting started with MariaDB' guide ([https://mariadb.com/kb/en/mariadb/documentation/getting-started/](https://mariadb.com/kb/en/mariadb/documentation/getting-started/))."
You are a Frappe Framework expert.,"I've gone through the prerequisites, what's the next step?","Once you're comfortable with the basics of the required technologies, you're ready to start building your Frappe app! The next step is to create a Bench, which you can find instructions for in the Frappe Framework documentation ([https://frappeframework.com/docs/v13/user/en/tutorial/install-and-setup-bench](https://frappeframework.com/docs/v13/user/en/tutorial/install-and-setup-bench))."
You are a Frappe Framework expert. Your task is to provide helpful information about the Frappe Framework.,I want to install Bench in developer mode. What are the system requirements for Frappe Framework?,"You'll need a *nix system like Linux or MacOS. Officially, we support Debian/Ubuntu and MacOS.  The specific versions of software you need depend on the Frappe version you want to install:

**Version 13:**
* Python 3.7 or Python 3.8
* Node.js 14
* MariaDB 10.3+

**Version 14:**
* Python 3.10 or Python 3.11
* Node.js 14 or 16
* MariaDB 10.6.6+

**Version 15/Nightly:**
* Python 3.10 or Python 3.11
* Node.js 18
* MariaDB 10.6.6+

**Common for all versions:**
* Redis 6 (for caching and real-time updates)
* yarn 1.12+ (JavaScript dependency manager)
* pip 20+ (Python dependency manager)
* wkhtmltopdf (version 0.12.5 with patched qt) for PDF generation
* cron for scheduled jobs like certificate renewal and backups
* NGINX for proxying multitenant sites in production

If you're interested in the framework architecture, you can learn more [here](/docs/v14/user/en/basics/architecture)."
You are a Frappe Framework expert. Your task is to provide helpful information about the Frappe Framework.,I'm on a MacOS system. How do I install the necessary packages?,"First, you'll need to install Xcode command-line tools and Homebrew. Here are the commands:

```bash
xcode-select --install
/bin/bash -c ""$(curl -fsSL https://raw.githubusercontent.com/Homebrew/install/HEAD/install.sh)""
```

Once Homebrew is installed, you can install the required packages with this command:

```bash
brew install python@3.10 git redis mariadb@10.6 node@14
brew install --cask wkhtmltopdf
```

You'll also need to edit the MariaDB configuration file, unless you're using Frappe v15.21.0 or newer. The path to the file depends on whether you're using Apple Silicon or not.

For standard MacOS:
```bash
 nano /usr/local/etc/my.cnf
```
For Apple Silicon:
```bash
nano /opt/homebrew/etc/my.cnf
```

Add this configuration to the file:

```
[mysqld]
character-set-client-handshake = FALSE
character-set-server = utf8mb4
collation-server = utf8mb4_unicode_ci
bind-address = 127.0.0.1

[mysql]
default-character-set = utf8mb4
```

Finally, restart the MariaDB service:

```bash
brew services restart mariadb@10.6
```
"
You are a Frappe Framework expert. Your task is to provide helpful information about the Frappe Framework.,"After installing the packages, how do I install Yarn?","You can install Yarn using `npm` like this:

```bash
npm install -g yarn
```
"
You are a Frappe Framework expert. Your task is to provide helpful information about the Frappe Framework.,I'm on a Debian/Ubuntu system. What are the steps for installing the necessary software?,"First, install `git`, `python`, and `redis` using this command:

```bash
sudo apt install git python-dev python-pip redis-server
```

Next, install MariaDB. If you're using Ubuntu 20.04 or newer, it's available in the default repositories. You can install it directly with these commands:

```bash
sudo apt-get update
sudo apt-get install mariadb-server
```

During the installation, you'll be prompted to set the root password. If you're not prompted, you'll need to initialize the MySQL server setup manually. You can do that with:

```bash
mysql_secure_installation
```

If you're using Ubuntu version older than 20.04, you'll need to add the MariaDB repository first:

```bash
sudo apt install software-properties-common
sudo apt-key adv --recv-keys --keyserver hkp://keyserver.ubuntu.com:80 0xF1656F24C74CD1D8
sudo add-apt-repository 'deb [arch=amd64,i386,ppc64el] http://ftp.ubuntu-tw.org/mirror/mariadb/repo/10.3/ubuntu xenial main'
```

After installing MariaDB, install the MySQL database development files:

```bash
apt-get install mariadb-client-10.3
```

You should then edit the MariaDB configuration file. You'll need to add these settings to `/etc/mysql/my.cnf`:

```
[mysqld]
character-set-client-handshake = FALSE
character-set-server = utf8mb4
collation-server = utf8mb4_unicode_ci

[mysql]
default-character-set = utf8mb4
```

Restart the MySQL service:

```bash
service mysql restart
```
"
You are a Frappe Framework expert. Your task is to provide helpful information about the Frappe Framework.,How do I install Node.js on Debian/Ubuntu?,"We recommend installing Node.js using `nvm` (Node Version Manager). You can install it with this command:

```bash
curl -o- https://raw.githubusercontent.com/creationix/nvm/v0.33.11/install.sh | bash
```

After `nvm` is installed, you may need to close and reopen your terminal. Then, run this command to install Node.js version 14:

```bash
nvm install 14
```

You can verify the installation with:

```bash
node -v
```

This should output the Node.js version you installed, for example, `v14.17.2`.
"
